listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,booked_365,revenue,rent_term
32946682,25 sqm soft bed 10 mins to kao-san road,21877541,Can,Dusit,13.761680603027344,100.51485443115234,Private room,1200,30,0,,0.0,1,365,0,0,0,Long
32948689,"Park24 LuxuryStudio,Amazing View,Sky Pool/BTS天际泳池",115758511,JSHome Luxury,Khlong Toei,13.72483,100.56657,Hotel room,1771,1,18,2022-12-13,0.4,22,87,5,278,492338,Short
33049130,คอนโดลุมพินีวิลล์ลาดพร้าว-โชคชัย4,248750141,Kanokwan,Huai Khwang,13.79605,100.5889,Entire home/apt,800,30,0,,0.0,2,365,0,0,0,Long
33053413,S1 hostel (Double Room) Sathorn Bangkok,10138065,S1,Sathon,13.72023,100.54731,Private room,1000,1,0,,0.0,3,362,0,3,3000,Short
33058943,S1 hostel (Twin Room) Sathorn Bangkok,10138065,S1,Sathon,13.7223,100.54522,Private room,1000,1,1,2019-05-03,0.02,3,365,0,0,0,Short
32948762,"INFINITY POOL,GYM Luxury50㎡ Condo Close PhromPhong",13858975,Demo,Vadhana,13.73349,100.57291,Entire home/apt,2263,15,2,2019-12-27,0.05,7,155,0,210,475230,Short
32759845,"Comfort  Near BTS Bangna,BITEC,On The Main Road",177833710,Pookky,Bang Na,13.66635,100.60445,Entire home/apt,571,14,13,2022-11-04,0.28,2,0,3,365,208415,Short
32949398,484Park24 ChicStudio Luxury Pool/BTS/Central,115758511,JSHome Luxury,Khlong Toei,13.72473,100.56755,Hotel room,1636,1,15,2022-08-01,0.33,22,85,3,280,458080,Short
32761391,"Big Buddha, Skytrain 200m, Supermarket, Netflix",36009950,Sunny,Chom Thong,13.71233,100.46495,Entire home/apt,1300,2,25,2022-12-17,0.54,11,331,5,34,44200,Short
32769557,洛泰Lothai公寓紧邻MRT地铁蓝线网红抖音40层270度视角无边天空泳池sky pool,181615772,Live In Thai,Bang Phlat,13.80065,100.50835,Entire home/apt,473,31,2,2019-04-01,0.04,2,73,0,292,138116,Long
32950595,"Apartment in Sathorn, center of city. Close to MRT",247955030,Bhorntiwa,Sathon,13.71989,100.55309,Hotel room,750,1,3,2020-01-01,0.07,1,86,0,279,209250,Short
